name	chrom	start	end
2L_17M	2L	17750000	17940000
2L_18M	2L	17910000	18100000
2L_19M	2L	19500000	19690000
2R_10M	2R	10480000	10740000
2R_16M	2R	16240000	16430000
2R_7M	2R	7110000	7310000
3L_21M	3L	21440000	21760000
3L_22M	3L	22210000	22490000
3L_4M	3L	4110000	4320000
3R_28M	3R	27900000	28120000
3R_2M	3R	2010000	2060000
3R_5M	3R	5260000	5590000
3R_9M	3R	8800000	9180000
rand_2L_5M	2L	5250001	5300000
rand_2L_11M	2L	11450001	11500000
rand_2R_14M	2R	14600001	14650000
rand_2R_21M	2R	21400001	21450000
rand_3L_10M	3L	10300001	10350000
rand_3L_17M	3L	17850001	17900000
rand_3R_11M	3R	11600001	11650000
rand_3R_23M	3R	23750001	23800000
rand_X_10M	X	10250001	10300000
rand_X_17M	X	17100001	17150000
